match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
93616,578,2024-04-01 00:30:00,11,1,0,0,C,Etihad Stadium,53422.0
93630,578,2024-04-03 03:30:00,23,7,1,1,C,St. James' Park,52135.0
93625,578,2024-04-03 03:30:00,15,34,3,1,C,The City Ground,28997.0
93622,578,2024-04-03 03:45:00,127,6,1,0,C,Vitality Stadium,11207.0
93624,578,2024-04-03 03:45:00,43,38,1,1,C,Turf Moor,21528.0
93626,578,2024-04-03 04:15:00,25,21,1,1,C,London Stadium,62469.0
93621,578,2024-04-04 03:30:00,1,163,2,0,C,Emirates Stadium,60262.0
93623,578,2024-04-04 03:30:00,130,131,0,0,C,Gtech Community Stadium,17024.0
93629,578,2024-04-04 04:15:00,11,2,4,1,C,Etihad Stadium,53422.0
93628,578,2024-04-05 03:30:00,10,18,3,1,C,Anfield,60055.0
93627,578,2024-04-05 04:15:00,4,12,4,3,C,Stamford Bridge,39694.0
93633,578,2024-04-06 20:30:00,6,11,2,4,C,Selhurst Park,25132.0
93631,578,2024-04-06 23:00:00,2,130,3,3,C,Villa Park,42218.0
93634,578,2024-04-06 23:00:00,7,43,1,0,C,Goodison Park,39125.0
93635,578,2024-04-06 23:00:00,34,23,0,1,C,Craven Cottage,24418.0
93636,578,2024-04-06 23:00:00,163,127,2,1,C,Kenilworth Road,11797.0
93640,578,2024-04-06 23:00:00,38,25,1,2,C,Molineux Stadium,31504.0
93632,578,2024-04-07 01:30:00,131,1,0,3,C,American Express Stadium,31677.0
93637,578,2024-04-07 23:30:00,12,10,2,2,C,Old Trafford,73522.0
93638,578,2024-04-08 01:30:00,18,4,2,2,C,Bramall Lane,28638.0
93639,578,2024-04-08 02:00:00,21,15,3,1,C,Tottenham Hotspur Stadium,61098.0
93648,578,2024-04-13 20:30:00,23,21,4,0,C,St. James' Park,52206.0
93643,578,2024-04-13 23:00:00,130,18,2,0,C,Gtech Community Stadium,17115.0
93644,578,2024-04-13 23:00:00,43,131,1,1,C,Turf Moor,20687.0
93647,578,2024-04-13 23:00:00,11,163,5,1,C,Etihad Stadium,53449.0
93649,578,2024-04-13 23:00:00,15,38,2,2,C,The City Ground,29604.0
93642,578,2024-04-14 01:30:00,127,12,2,2,C,Vitality Stadium,11229.0
93646,578,2024-04-14 22:00:00,10,6,0,1,C,Anfield,60090.0
93650,578,2024-04-14 22:00:00,25,34,0,2,C,London Stadium,62459.0
93641,578,2024-04-15 00:30:00,1,2,0,2,C,Emirates Stadium,60350.0
93645,578,2024-04-16 04:00:00,4,7,6,0,C,Stamford Bridge,39392.0
93656,578,2024-04-20 23:00:00,163,130,1,5,C,Kenilworth Road,11877.0
93658,578,2024-04-20 23:00:00,18,43,1,4,C,Bramall Lane,28964.0
93660,578,2024-04-21 03:30:00,38,1,0,2,C,Molineux Stadium,31621.0
93654,578,2024-04-21 21:30:00,7,15,2,0,C,Goodison Park,39239.0
93651,578,2024-04-21 23:00:00,2,127,3,1,C,Villa Park,42189.0
93653,578,2024-04-21 23:00:00,6,25,5,2,C,Selhurst Park,25145.0
93655,578,2024-04-22 00:30:00,34,10,1,3,C,Craven Cottage,24401.0
93601,578,2024-04-24 04:00:00,1,4,5,0,C,Emirates Stadium,60238.0
