height,market_value,full_name,preferred_foot,primary_position,shirt,assists,goals,matches,minutes_played,rating,red_cards,started,yellow_cards
187,€25M,Wout Faes,Right,CB,3,0,1,34,"2,812",6.37,0,30,4
185,€3.5M,Conor Coady,Right,CB,4,0,1,22,"1,713",6.15,0,19,3
191,€8.3M,Memeh Caleb Okoli,Right,CB,5,0,1,19,"1,122",6.41,0,12,4
198,€7.3M,Harry Souttar,Right,CB,15,1,0,12,991,6.84,0,11,2
199,€3.5M,Jannik Vestergaard,Left,CB,23,0,0,18,"1,395",6.39,0,16,5
187,€430K,Ben Nelson,Right,CB,26,,,,,,,,
181,€18M,Victor Kristiansen,Left,LB,16,1,0,30,"2,489",6.42,0,29,1
181,€6.5M,Luke Thomas,Left,CB,33,0,0,14,"1,112",6.67,0,13,3
183,€20M,Wilfred Ndidi,Right,DM,6,5,0,28,"2,336",6.91,0,28,8
178,€15M,Harry Winks,Right,DM,8,2,0,22,"1,540",6.57,0,17,4
185,€18M,Oliver Skipp,Right,CB,22,0,0,24,"1,120",6.25,0,10,8
188,€18M,Boubakary Soumaré,Right,DM,24,0,0,31,"2,170",6.51,0,25,8
,€230K,Sammy Braybrooke,,DM,44,,,,,,,,
180,€32M,Bilal El Khannouss,Right,CM,11,3,2,32,"2,193",6.73,0,27,4
179,€350K,Michael Golding,Right,AM,34,0,0,1,1,,0,0,0
182,€4.2M,Jordan Ayew,Right,RW,18,0,5,31,"1,664",6.54,0,19,6
177,€13M,Abdul Fatawu,Left,RW,7,2,0,11,577,7.23,0,6,0
179,€950K,Kasey McAteer,Right,RW,35,1,1,18,852,6.71,0,9,3
174,€22M,Facundo Buonanotte,Left,RW,40,2,5,31,"1,513",6.65,0,14,8
,€20K,Jeremy Monga,,RW,93,0,0,7,105,6.28,0,0,0
,€80K,Will Alves,Right,RW,,0,0,1,1,,0,0,0
180,€9.3M,Stephy Mavididi,Right,LW,10,1,4,30,"1,613",6.60,0,16,2
170,€6M,Bobby Reid,Right,RW,14,2,1,23,742,6.27,0,9,2
,€15K,Jake Evans,,LW,91,0,0,4,21,6.03,0,0,0
